suite,datasetSize,nodes,rf,cl,concurrency,profile,ratio,bootstrap_p025,bootstrap_p975
A_H1_H2,1000000,3,3,LOCAL_QUORUM,1,CONCURRENT_WRITE,2.1071865094250857,2.0558425984577657,2.1622367248080976
A_H1_H2,1000000,3,3,LOCAL_QUORUM,1,READ_SINGLE,2.091412412567965,2.0311756469606617,2.2029660625960648
A_H1_H2,1000000,3,3,LOCAL_QUORUM,8,CONCURRENT_WRITE,1.6460282348541642,1.6302817283911668,1.660612203016185
A_H1_H2,1000000,3,3,LOCAL_QUORUM,8,READ_SINGLE,1.8262464157645182,1.7305836171902453,1.9829259318855867
A_H1_H2,1000000,3,3,LOCAL_QUORUM,32,CONCURRENT_WRITE,1.9320264596057066,1.9102455258359181,1.951513981258021
A_H1_H2,1000000,3,3,LOCAL_QUORUM,32,READ_SINGLE,2.0447932568642417,1.6340828247239774,2.269285923619635
A_H1_H2,1000000,3,3,LOCAL_QUORUM,128,CONCURRENT_WRITE,2.361432913772904,2.3358651321159187,2.3890571848949964
A_H1_H2,1000000,3,3,LOCAL_QUORUM,128,READ_SINGLE,3.074663416847178,3.0393758983743715,3.1074668684615707
A_H1_H2,10000000,3,3,LOCAL_QUORUM,1,CONCURRENT_WRITE,2.232204069081888,2.0641225959086884,2.543237083346296
A_H1_H2,10000000,3,3,LOCAL_QUORUM,1,READ_SINGLE,2.2456462928178733,1.958454067067403,2.556846196983601
A_H1_H2,10000000,3,3,LOCAL_QUORUM,8,CONCURRENT_WRITE,1.8430946597824236,1.7917162940611568,1.8796522058198433
A_H1_H2,10000000,3,3,LOCAL_QUORUM,8,READ_SINGLE,1.9352002527318697,1.6343633459365121,2.131801866571308
A_H1_H2,10000000,3,3,LOCAL_QUORUM,32,CONCURRENT_WRITE,1.8783303695347913,1.7895858253866108,1.939257345969333
A_H1_H2,10000000,3,3,LOCAL_QUORUM,32,READ_SINGLE,2.6876419138085166,2.6726101378052998,2.7054760761356835
A_H1_H2,10000000,3,3,LOCAL_QUORUM,128,CONCURRENT_WRITE,2.5108564580990405,2.185905466502302,3.2491085457771853
A_H1_H2,10000000,3,3,LOCAL_QUORUM,128,READ_SINGLE,3.8120060094525146,3.7217766400649803,3.946162054078308
B_H3,1000000,1,1,LOCAL_QUORUM,8,CONCURRENT_WRITE,1.8171214224577912,1.731327583771204,1.994598264320007
B_H3,1000000,1,1,LOCAL_QUORUM,8,READ_SINGLE,1.8028241868623582,1.786671776603047,1.8174609753068236
B_H3,1000000,1,1,LOCAL_QUORUM,32,CONCURRENT_WRITE,1.7495766310241125,1.7281221745083042,1.7684866124225405
B_H3,1000000,1,1,LOCAL_QUORUM,32,READ_SINGLE,2.4565401545099323,2.3821884354214893,2.5997831799758515
B_H3,1000000,2,1,LOCAL_QUORUM,8,CONCURRENT_WRITE,1.3712417192559372,1.3606692226652586,1.3818860312566101
B_H3,1000000,2,1,LOCAL_QUORUM,8,READ_SINGLE,1.4442096085267404,1.4369815153671504,1.4522969667525163
B_H3,1000000,2,1,LOCAL_QUORUM,32,CONCURRENT_WRITE,1.1521605595770388,1.1173643109642408,1.1777809778701784
B_H3,1000000,2,1,LOCAL_QUORUM,32,READ_SINGLE,1.3273670988557027,1.2559093167703435,1.368704174974171
B_H3,1000000,3,1,LOCAL_QUORUM,8,CONCURRENT_WRITE,1.5764031746990794,1.5616109960824578,1.5913412134377187
B_H3,1000000,3,1,LOCAL_QUORUM,8,READ_SINGLE,1.6321043677459612,1.623981687286453,1.6402753668178829
B_H3,1000000,3,1,LOCAL_QUORUM,32,CONCURRENT_WRITE,1.2906500446572893,1.056014918647585,1.4178962231704526
B_H3,1000000,3,1,LOCAL_QUORUM,32,READ_SINGLE,1.533373919788013,1.515963469037654,1.5508236842929304
C_H4,1000000,3,3,LOCAL_QUORUM,32,BALANCED,1.6067971717969955,1.5829934102454075,1.6300258426411522
C_H4,1000000,3,3,LOCAL_QUORUM,32,READ_HEAVY,1.5564443742872136,1.517392750671481,1.5902030217285488
C_H4,1000000,3,3,LOCAL_QUORUM,32,WRITE_HEAVY,1.9059286247977543,1.8673856259457882,1.9629189666397224
C_H4,10000000,3,3,LOCAL_QUORUM,32,BALANCED,1.548696547558232,1.477103825529667,1.6897756032225295
C_H4,10000000,3,3,LOCAL_QUORUM,32,READ_HEAVY,1.5988172311234943,1.319972904641256,2.3186624445508985
C_H4,10000000,3,3,LOCAL_QUORUM,32,WRITE_HEAVY,1.7508326596061554,1.7101536060851197,1.7925385857851925
