id,at,cpu_percent_sum,memory_gib_sum,client_memory_gib,client_cpu_seconds
b_h3-1m-n1-c8-concurrent_write-r1-cassandra,2026-09-06T09:34:39.4850869Z,231.24,2.527,0.7640380859375,251.734375
b_h3-1m-n1-c8-concurrent_write-r1-cassandra,2026-09-06T09:34:46.4455238Z,232.69,2.527,0.7663040161132812,252.78125
b_h3-1m-n1-c8-concurrent_write-r1-cassandra,2026-09-06T09:34:52.7034239Z,236.14,2.525,0.7663040161132812,254.71875
b_h3-1m-n1-c8-concurrent_write-r1-cassandra,2026-09-06T09:34:58.9922031Z,232.63,2.525,0.7685394287109375,256.609375
b_h3-1m-n1-c8-concurrent_write-r1-cassandra,2026-09-06T09:35:06.2032795Z,214.81,2.525,0.7686843872070312,258.578125
b_h3-1m-n1-c8-concurrent_write-r1-cassandra,2026-09-06T09:35:12.4422403Z,231.09,2.525,0.7686843872070312,260.71875
b_h3-1m-n1-c8-concurrent_write-r1-cassandra,2026-09-06T09:35:18.6809955Z,234.06,2.525,0.7686843872070312,262.515625
b_h3-1m-n1-c8-concurrent_write-r1-cassandra,2026-09-06T09:35:24.9479596Z,226.46,2.525,0.7686882019042969,264.203125
b_h3-1m-n1-c8-concurrent_write-r1-cassandra,2026-09-06T09:35:31.1992938Z,235.43,2.525,0.7686882019042969,265.640625
b_h3-1m-n1-c8-concurrent_write-r1-cassandra,2026-09-06T09:35:37.4485497Z,234.05,2.525,0.7686920166015625,267.703125
b_h3-1m-n1-c8-concurrent_write-r1-cassandra,2026-09-06T09:35:43.6999253Z,235.62,2.525,0.7686920166015625,269.40625
b_h3-1m-n1-c8-concurrent_write-r1-cassandra,2026-09-06T09:35:49.9557360Z,241.11,2.525,0.7686614990234375,271.3125
b_h3-1m-n1-c8-concurrent_write-r1-cassandra,2026-09-06T09:35:57.1843801Z,245.19,2.525,0.7686614990234375,273.5625
b_h3-1m-n1-c8-concurrent_write-r1-cassandra,2026-09-06T09:36:03.4514521Z,226.73,2.526,0.7686614990234375,275.40625
b_h3-1m-n1-c8-concurrent_write-r1-cassandra,2026-09-06T09:36:09.6881880Z,234.67,2.525,0.7686691284179688,277.3125
b_h3-1m-n1-c8-concurrent_write-r1-cassandra,2026-09-06T09:36:16.2071531Z,236.85,2.525,0.7686691284179688,279.4375
b_h3-1m-n1-c8-concurrent_write-r1-cassandra,2026-09-06T09:36:22.4650821Z,236.9,2.525,0.7686691284179688,281.265625
b_h3-1m-n1-c8-concurrent_write-r1-cassandra,2026-09-06T09:36:28.7203406Z,233.22,2.525,0.7686691284179688,283.359375
b_h3-1m-n1-c8-concurrent_write-r1-cassandra,2026-09-06T09:36:34.9728020Z,228.38,2.526,0.7686691284179688,284.875
b_h3-1m-n1-c8-concurrent_write-r1-cassandra,2026-09-06T09:36:41.2363804Z,238.44,2.525,0.7686691284179688,287
b_h3-1m-n1-c8-concurrent_write-r1-cassandra,2026-09-06T09:36:47.4783697Z,231.81,2.526,0.7686691284179688,288.53125
b_h3-1m-n1-c8-concurrent_write-r1-cassandra,2026-09-06T09:36:53.7368545Z,238.16,2.526,0.7686691284179688,290.21875
b_h3-1m-n1-c8-concurrent_write-r1-cassandra,2026-09-06T09:36:59.9959682Z,230.51,2.526,0.7686691284179688,291.90625
b_h3-1m-n1-c8-concurrent_write-r1-cassandra,2026-09-06T09:37:06.2772940Z,239.66,2.526,0.7686691284179688,293.875
b_h3-1m-n1-c8-concurrent_write-r1-cassandra,2026-09-06T09:37:12.5260828Z,237.55,2.525,0.7686691284179688,295.828125
b_h3-1m-n1-c8-concurrent_write-r1-cassandra,2026-09-06T09:37:18.7729049Z,234.26,2.526,0.7686691284179688,297.328125
b_h3-1m-n1-c8-concurrent_write-r1-cassandra,2026-09-06T09:37:24.9842746Z,210.35,2.534,0.7686691284179688,298.484375
b_h3-1m-n1-c8-concurrent_write-r1-cassandra,2026-09-06T09:37:31.2098116Z,226.06,2.532,0.769073486328125,300.03125
b_h3-1m-n1-c8-concurrent_write-r2-cassandra,2026-09-06T09:47:07.5835095Z,235.13,2.535,0.7634849548339844,249.484375
b_h3-1m-n1-c8-concurrent_write-r2-cassandra,2026-09-06T09:47:13.8208106Z,233.85,2.536,0.7634849548339844,250.859375
b_h3-1m-n1-c8-concurrent_write-r2-cassandra,2026-09-06T09:47:20.0566340Z,237.59,2.535,0.7652969360351562,252.4375
b_h3-1m-n1-c8-concurrent_write-r2-cassandra,2026-09-06T09:47:26.6921881Z,237.63,2.536,0.7629165649414062,254.375
b_h3-1m-n1-c8-concurrent_write-r2-cassandra,2026-09-06T09:47:32.9363326Z,242.5,2.544,0.7629165649414062,256
b_h3-1m-n1-c8-concurrent_write-r2-cassandra,2026-09-06T09:47:39.1905725Z,242.58,2.544,0.7629165649414062,257.71875
b_h3-1m-n1-c8-concurrent_write-r2-cassandra,2026-09-06T09:47:45.4165364Z,221.65,2.544,0.7629508972167969,259.796875
b_h3-1m-n1-c8-concurrent_write-r2-cassandra,2026-09-06T09:47:51.6638387Z,233.97,2.544,0.7633514404296875,262.015625
b_h3-1m-n1-c8-concurrent_write-r2-cassandra,2026-09-06T09:47:57.9091641Z,234.69,2.544,0.7638206481933594,263.453125
b_h3-1m-n1-c8-concurrent_write-r2-cassandra,2026-09-06T09:48:04.1452825Z,239.07,2.544,0.7638206481933594,265.21875
b_h3-1m-n1-c8-concurrent_write-r2-cassandra,2026-09-06T09:48:10.3804030Z,237.83,2.544,0.7659912109375,266.984375
b_h3-1m-n1-c8-concurrent_write-r2-cassandra,2026-09-06T09:48:16.7193870Z,232.54,2.544,0.7668571472167969,268.65625
b_h3-1m-n1-c8-concurrent_write-r2-cassandra,2026-09-06T09:48:22.9693381Z,238.52,2.544,0.7668571472167969,270.6875
