suite,datasetSize,nodes,rf,cl,concurrency,profile,database,speedup,efficiency,latency_N_1
B_H3,1000000,1,1,LOCAL_QUORUM,8,CONCURRENT_WRITE,cassandra,1.0,1.0,1.0
B_H3,1000000,1,1,LOCAL_QUORUM,8,CONCURRENT_WRITE,scylla,1.0,1.0,1.0
B_H3,1000000,1,1,LOCAL_QUORUM,8,READ_SINGLE,cassandra,1.0,1.0,1.0
B_H3,1000000,1,1,LOCAL_QUORUM,8,READ_SINGLE,scylla,1.0,1.0,1.0
B_H3,1000000,1,1,LOCAL_QUORUM,32,CONCURRENT_WRITE,cassandra,1.0,1.0,1.0
B_H3,1000000,1,1,LOCAL_QUORUM,32,CONCURRENT_WRITE,scylla,1.0,1.0,1.0
B_H3,1000000,1,1,LOCAL_QUORUM,32,READ_SINGLE,cassandra,1.0,1.0,1.0
B_H3,1000000,1,1,LOCAL_QUORUM,32,READ_SINGLE,scylla,1.0,1.0,1.0
B_H3,1000000,2,1,LOCAL_QUORUM,8,CONCURRENT_WRITE,cassandra,1.0558812861580744,0.5279406430790372,0.9431077132447696
B_H3,1000000,2,1,LOCAL_QUORUM,8,CONCURRENT_WRITE,scylla,0.7967923619563182,0.3983961809781591,1.255041005481773
B_H3,1000000,2,1,LOCAL_QUORUM,8,READ_SINGLE,cassandra,1.0373648108091622,0.5186824054045811,0.9639315420403817
B_H3,1000000,2,1,LOCAL_QUORUM,8,READ_SINGLE,scylla,0.8310140490879152,0.4155070245439576,1.203263886878568
B_H3,1000000,2,1,LOCAL_QUORUM,32,CONCURRENT_WRITE,cassandra,0.9913584722677907,0.49567923613389536,1.0088198240969117
B_H3,1000000,2,1,LOCAL_QUORUM,32,CONCURRENT_WRITE,scylla,0.6528460153705348,0.3264230076852674,1.5326684145410185
B_H3,1000000,2,1,LOCAL_QUORUM,32,READ_SINGLE,cassandra,1.1463328612839676,0.5731664306419838,0.8709793885947663
B_H3,1000000,2,1,LOCAL_QUORUM,32,READ_SINGLE,scylla,0.61940958775372,0.30970479387686,1.6171859990561648
B_H3,1000000,3,1,LOCAL_QUORUM,8,CONCURRENT_WRITE,cassandra,1.002452490339181,0.3341508301130603,0.9934195107666455
B_H3,1000000,3,1,LOCAL_QUORUM,8,CONCURRENT_WRITE,scylla,0.8696553068634522,0.2898851022878174,1.1498306189927243
B_H3,1000000,3,1,LOCAL_QUORUM,8,READ_SINGLE,cassandra,0.9518688883872897,0.3172896294624299,1.0505159596164537
B_H3,1000000,3,1,LOCAL_QUORUM,8,READ_SINGLE,scylla,0.8617309339310515,0.28724364464368385,1.1604017660782393
B_H3,1000000,3,1,LOCAL_QUORUM,32,CONCURRENT_WRITE,cassandra,0.7754307240166447,0.25847690800554823,1.2898433688465885
B_H3,1000000,3,1,LOCAL_QUORUM,32,CONCURRENT_WRITE,scylla,0.5720296446774634,0.19067654822582114,1.7811766717326372
B_H3,1000000,3,1,LOCAL_QUORUM,32,READ_SINGLE,cassandra,0.9099118008654677,0.30330393362182256,1.0973532823023187
B_H3,1000000,3,1,LOCAL_QUORUM,32,READ_SINGLE,scylla,0.5679675222051457,0.18932250740171522,1.7610553283297832
