id,suite,database,datasetSize,nodes,rf,cl,concurrency,profile,operation,writePercent,repetition,seed,startedAt,finishedAt,elapsedSeconds,throughput,attempted,actualWriteFraction,initialRows,acknowledgedFinalRows,baselineSampleSha256,peakInFlight,total_successful,total_failed,total_validationFailures,total_meanMs,total_p50Ms,total_p95Ms,total_p99Ms,total_maxMs,read_successful,read_failed,read_validationFailures,read_meanMs,read_p50Ms,read_p95Ms,read_p99Ms,read_maxMs,write_successful,write_failed,write_validationFailures,write_meanMs,write_p50Ms,write_p95Ms,write_p99Ms,write_maxMs,resource_samples,cpu_percent_sum_mean,memory_gib_sum_mean,client_memory_gib_mean,resource_span_fraction,resource_max_gap_seconds,client_cpu_percent,cpu_core_seconds_per_1000_ops,audit_flags,source
b_h3-1m-n1-c8-concurrent_write-r1-cassandra,B_H3,cassandra,1000000,1,1,LOCAL_QUORUM,8,CONCURRENT_WRITE,CONCURRENT_WRITE,100,1,20260907,2026-09-06T09:34:33.690236Z,2026-09-06T09:37:33.692617600Z,180.0021683,2427.6985334514998,436991,1.0,1000000,1436991,48f7c7acdc39fd8db1e6d07317cecddffe917e11d6dfb2f77971b7a750294942,8,436991,0,0,3.2914120193779732,2.451455,5.922815,14.442495,200.671231,0,0,0,,,,,,436991,0,0,3.2914120193779732,2.451455,5.922815,14.442495,200.671231,28,232.64535714285714,2.5259642857142857,0.7683484213692802,0.9540147578322256,7.228644,28.124590096155345,0.958295908397248,OK,C:\cassandra-scylla-benchmark\research-v3\results\short-v3\b_h3-1m-n1-c8-concurrent_write-r1-cassandra\attempt-20260906T092311798Z\result.json
b_h3-1m-n1-c8-concurrent_write-r2-cassandra,B_H3,cassandra,1000000,1,1,LOCAL_QUORUM,8,CONCURRENT_WRITE,CONCURRENT_WRITE,100,2,20260908,2026-09-06T09:47:05.317652100Z,2026-09-06T09:50:05.320881300Z,180.0033677,2785.9034328500506,501472,1.0,1000000,1501472,f55996df68fd2ba0d93bfa4870dc9092ebbe8e4272b03da2b6f2fc7472f2664d,8,501472,0,0,2.8683287805500606,2.131967,4.587519,13.189119,147.980287,0,0,0,,,,,,501472,0,0,2.8683287805500606,2.131967,4.587519,13.189119,147.980287,29,234.38344827586207,2.5427586206896553,0.76565564911941,0.9749083488952968,6.635554,27.307967791945316,0.8413193562710168,OK,C:\cassandra-scylla-benchmark\research-v3\results\short-v3\b_h3-1m-n1-c8-concurrent_write-r2-cassandra\attempt-20260906T093738852Z\result.json
b_h3-1m-n1-c8-concurrent_write-r3-cassandra,B_H3,cassandra,1000000,1,1,LOCAL_QUORUM,8,CONCURRENT_WRITE,CONCURRENT_WRITE,100,3,20260909,2026-09-06T09:59:34.127173700Z,2026-09-06T10:02:34.136886300Z,180.009317801,2782.9614939922685,500959,1.0,1000000,1500959,92cc8a42a76cb06b30e005916a055db98a2f0d79aaacb7e5935d1cfec74d807e,8,500959,0,0,2.8715478571619633,2.150399,4.530175,12.787711,190.054399,0,0,0,,,,,,500959,0,0,2.8715478571619633,2.150399,4.530175,12.787711,190.054399,28,233.30392857142857,2.5442857142857145,0.771392958504813,0.9389698714755144,6.553123,27.769835744446304,0.8383297040763036,OK,C:\cassandra-scylla-benchmark\research-v3\results\short-v3\b_h3-1m-n1-c8-concurrent_write-r3-cassandra\attempt-20260906T095010663Z\result.json
b_h3-1m-n1-c8-read_single-r1-cassandra,B_H3,cassandra,1000000,1,1,LOCAL_QUORUM,8,READ_SINGLE,READ_SINGLE,0,1,20260907,2026-09-06T10:07:59.930708800Z,2026-09-06T10:10:59.936246Z,180.003856399,2528.8569317703177,455204,0.0,1000000,1000000,48f7c7acdc39fd8db1e6d07317cecddffe917e11d6dfb2f77971b7a750294942,8,455204,0,0,3.160151273187406,2.271231,4.853759,20.365311,95.551487,455204,0,0,3.160151273187406,2.271231,4.853759,20.365311,95.551487,0,0,0,,,,,,29,229.44931034482758,2.578689655172414,0.7632400249612743,0.9734702661679945,6.421431,28.329097585447364,0.9073242043163049,OK,C:\cassandra-scylla-benchmark\research-v3\results\short-v3\b_h3-1m-n1-c8-read_single-r1-cassandra\attempt-20260906T100242280Z\result.json
b_h3-1m-n1-c8-read_single-r2-cassandra,B_H3,cassandra,1000000,1,1,LOCAL_QUORUM,8,READ_SINGLE,READ_SINGLE,0,2,20260908,2026-09-06T10:16:27.778057100Z,2026-09-06T10:19:27.785910500Z,180.0038417,2513.1074744167527,452369,0.0,1000000,1000000,f55996df68fd2ba0d93bfa4870dc9092ebbe8e4272b03da2b6f2fc7472f2664d,8,452369,0,0,3.1803341731374166,2.277375,4.956159,20.578303,88.276991,452369,0,0,3.1803341731374166,2.277375,4.956159,20.578303,88.276991,0,0,0,,,,,,29,230.5444827586207,2.6024827586206896,0.7597700974036907,0.9735449051807654,6.4185,28.8173217645653,0.9173681790593773,OK,C:\cassandra-scylla-benchmark\research-v3\results\short-v3\b_h3-1m-n1-c8-read_single-r2-cassandra\attempt-20260906T101110100Z\result.json
b_h3-1m-n1-c8-read_single-r3-cassandra,B_H3,cassandra,1000000,1,1,LOCAL_QUORUM,8,READ_SINGLE,READ_SINGLE,0,3,20260909,2026-09-06T10:24:53.640560600Z,2026-09-06T10:27:53.644695200Z,180.0023001,2507.5235135842577,451360,0.0,1000000,1000000,92cc8a42a76cb06b30e005916a055db98a2f0d79aaacb7e5935d1cfec74d807e,8,451360,0,0,3.18776711123715,2.279423,4.972543,21.184511,88.408063,451360,0,0,3.18776711123715,2.279423,4.972543,21.184511,88.408063,0,0,0,,,,,,29,228.90310344827586,2.582310344827586,0.7611160278320312,0.9721994269116564,6.424818,28.437803390736747,0.9128652322030729,OK,C:\cassandra-scylla-benchmark\research-v3\results\short-v3\b_h3-1m-n1-c8-read_single-r3-cassandra\attempt-20260906T101938152Z\result.json
b_h3-1m-n1-c32-concurrent_write-r1-cassandra,B_H3,cassandra,1000000,1,1,LOCAL_QUORUM,32,CONCURRENT_WRITE,CONCURRENT_WRITE,100,1,20260907,2026-09-06T10:37:26.910124400Z,2026-09-06T10:40:26.927980900Z,180.0184335,8277.641189450747,1490128,1.0,1000000,2490128,48f7c7acdc39fd8db1e6d07317cecddffe917e11d6dfb2f77971b7a750294942,32,1490128,0,0,3.861987450721012,2.273279,6.672383,38.305791,255.590399,0,0,0,,,,,,1490128,0,0,3.861987450721012,2.273279,6.672383,38.305791,255.590399,29,218.90206896551723,2.5655862068965516,0.7681058686355065,0.9729726594915628,6.543369,41.49050783676494,0.2644498160230622,OK,C:\cassandra-scylla-benchmark\research-v3\results\short-v3\b_h3-1m-n1-c32-concurrent_write-r1-cassandra\attempt-20260906T102759641Z\result.json
b_h3-1m-n1-c32-concurrent_write-r2-cassandra,B_H3,cassandra,1000000,1,1,LOCAL_QUORUM,32,CONCURRENT_WRITE,CONCURRENT_WRITE,100,2,20260908,2026-09-06T10:50:02.801618800Z,2026-09-06T10:53:02.806138800Z,180.0046675,8305.24575147475,1494983,1.0,1000000,2494983,f55996df68fd2ba0d93bfa4870dc9092ebbe8e4272b03da2b6f2fc7472f2664d,32,1494983,0,0,3.849329539774031,2.281471,6.610943,38.141951,274.464767,0,0,0,,,,,,1494983,0,0,3.849329539774031,2.281471,6.610943,38.141951,274.464767,29,219.64655172413794,2.546103448275862,0.7701746184250404,0.9750233337699422,6.760983,40.54285019668336,0.26446725153814465,OK,C:\cassandra-scylla-benchmark\research-v3\results\short-v3\b_h3-1m-n1-c32-concurrent_write-r2-cassandra\attempt-20260906T104037661Z\result.json
b_h3-1m-n1-c32-concurrent_write-r3-cassandra,B_H3,cassandra,1000000,1,1,LOCAL_QUORUM,32,CONCURRENT_WRITE,CONCURRENT_WRITE,100,3,20260909,2026-09-06T11:02:37.956867100Z,2026-09-06T11:05:38.001834100Z,180.044679,8212.194929681871,1478562,1.0,1000000,2478562,92cc8a42a76cb06b30e005916a055db98a2f0d79aaacb7e5935d1cfec74d807e,32,1478562,0,0,3.892169601804997,2.299903,6.942719,37.978111,265.289727,0,0,0,,,,,,1478562,0,0,3.892169601804997,2.299903,6.942719,37.978111,265.289727,28,220.12,2.5548214285714286,0.7681860242571149,0.9391829458064683,6.566782,41.784970062844955,0.26804039831593124,OK,C:\cassandra-scylla-benchmark\research-v3\results\short-v3\b_h3-1m-n1-c32-concurrent_write-r3-cassandra\attempt-20260906T105309862Z\result.json
b_h3-1m-n1-c32-read_single-r1-cassandra,B_H3,cassandra,1000000,1,1,LOCAL_QUORUM,32,READ_SINGLE,READ_SINGLE,0,1,20260907,2026-09-06T11:11:04.380038300Z,2026-09-06T11:14:04.389732200Z,180.0108359,6072.45110848352,1093107,0.0,1000000,1000000,48f7c7acdc39fd8db1e6d07317cecddffe917e11d6dfb2f77971b7a750294942,32,1093107,0,0,5.265140511572975,2.748415,37.879807,49.315839,95.354879,1093107,0,0,5.265140511572975,2.748415,37.879807,49.315839,95.354879,0,0,0,,,,,,29,211.7041379310345,2.576551724137931,0.7714115011280981,0.971916724486473,6.562735,36.973678718905624,0.3486304527594683,OK,C:\cassandra-scylla-benchmark\research-v3\results\short-v3\b_h3-1m-n1-c32-read_single-r1-cassandra\attempt-20260906T110547838Z\result.json
