"experiment_id","event_at_utc","database","test_series","event_type","cluster_node_count","consistency_level","replication_factor","detail"
"EXP-20260821T034822Z-f7560dda","2026-08-21T03:48:22.825302500Z","cassandra","FINAL_1M_CASSANDRA_OPTIMIZED_V2","STARTED","3","LOCAL_QUORUM","3",""
"EXP-20260821T034822Z-f7560dda","2026-08-21T05:14:37.894701900Z","cassandra","FINAL_1M_CASSANDRA_OPTIMIZED_V2","COMPLETED","3","LOCAL_QUORUM","3",""
"EXP-20260821T164655Z-34201620","2026-08-21T16:46:55.239722500Z","scylla","FINAL_1M_SCYLLA_OPTIMIZED_V2","STARTED","3","LOCAL_QUORUM","3",""
"EXP-20260821T164655Z-34201620","2026-08-21T17:31:09.726521400Z","scylla","FINAL_1M_SCYLLA_OPTIMIZED_V2","COMPLETED","3","LOCAL_QUORUM","3",""
"EXP-20260821T175739Z-d4d5cb36","2026-08-21T17:57:39.294037500Z","cassandra","FINAL_1M_CASSANDRA_OPTIMIZED_V2","STARTED","3","LOCAL_QUORUM","3",""
"EXP-20260821T175739Z-d4d5cb36","2026-08-21T19:09:45.495509300Z","cassandra","FINAL_1M_CASSANDRA_OPTIMIZED_V2","COMPLETED","3","LOCAL_QUORUM","3",""
"EXP-20260821T194109Z-ae67f3fe","2026-08-21T19:41:09.606723600Z","scylla","FINAL_1M_SCYLLA_OPTIMIZED_V2","STARTED","3","LOCAL_QUORUM","3",""
"EXP-20260821T194109Z-ae67f3fe","2026-08-21T20:24:17.491040500Z","scylla","FINAL_1M_SCYLLA_OPTIMIZED_V2","COMPLETED","3","LOCAL_QUORUM","3",""
"EXP-20260821T213411Z-d2576fc0","2026-08-21T21:34:11.419288100Z","cassandra","FINAL_5M_CASSANDRA_OPTIMIZED_V2","STARTED","3","LOCAL_QUORUM","3",""
"EXP-20260821T213411Z-d2576fc0","2026-08-21T23:57:18.053494800Z","cassandra","FINAL_5M_CASSANDRA_OPTIMIZED_V2","COMPLETED","3","LOCAL_QUORUM","3",""
"EXP-20260821T235904Z-8fb2a940","2026-08-21T23:59:04.363192200Z","scylla","FINAL_5M_SCYLLA_OPTIMIZED_V2","STARTED","3","LOCAL_QUORUM","3",""
"EXP-20260821T235904Z-8fb2a940","2026-08-22T01:24:47.340415300Z","scylla","FINAL_5M_SCYLLA_OPTIMIZED_V2","COMPLETED","3","LOCAL_QUORUM","3",""
"EXP-20260822T012730Z-82fe66af","2026-08-22T01:27:30.517938700Z","cassandra","FINAL_10M_CASSANDRA_OPTIMIZED_V2","STARTED","3","LOCAL_QUORUM","3",""
"EXP-20260822T012730Z-82fe66af","2026-08-22T05:41:37.619001300Z","cassandra","FINAL_10M_CASSANDRA_OPTIMIZED_V2","COMPLETED","3","LOCAL_QUORUM","3",""
"EXP-20260822T072020Z-2f735855","2026-08-22T07:20:20.476170600Z","scylla","FINAL_10M_SCYLLA_OPTIMIZED_V2","STARTED","3","LOCAL_QUORUM","3",""
"EXP-20260822T072020Z-2f735855","2026-08-22T09:52:58.903230600Z","scylla","FINAL_10M_SCYLLA_OPTIMIZED_V2","COMPLETED","3","LOCAL_QUORUM","3",""
